Date,Open,High,Low,Close,Adj Close,Volume,New Price
12/8/2021,3.87,3.98,3.87,3.88,3.246148,1400,1
13/8/2021,3.87,4.03,3.87,4.03,3.371644,43600,1
16/8/2021,3.81,4.76,3.81,4.06,3.396743,36200,1
17/8/2021,4.95,5.15,4.95,5.15,4.308676,600,0
18/8/2021,4.22,5.15,4.22,5.1,4.266845,4400,0
19/8/2021,4.9,5.1,4.11,4.8,4.015853,1900,0
20/8/2021,4.79,4.79,4.12,4.12,3.446941,2200,1
23/8/2021,6.54,6.74,5.18,6.74,5.638928,900,0
24/8/2021,6.15,6.15,6.14,6.14,5.136945,2200,0
25/8/2021,6.1,6.1,6.1,6.1,5.103481,200,0
26/8/2021,4.5,6.08,4.49,6.08,5.086748,2300,1
27/8/2021,4.5,6.1,4.34,6.1,5.103481,700,0
30/8/2021,4.4,6.1,4.4,6.1,5.103481,500,0
31/8/2021,5.9,6.1,4.38,6.1,5.103481,1000,0
1/9/2021,4.38,6.08,4.38,6.08,5.086748,400,0
2/9/2021,6.08,6.08,6.08,6.08,5.086748,400,0
3/9/2021,4.87,6.05,4.87,6.05,5.061649,1700,0
7/9/2021,6.05,6.05,6.05,6.05,5.061649,0,0
8/9/2021,4.93,5.74,4.93,5.74,4.802291,600,1
9/9/2021,5.82,5.82,5.82,5.82,4.869223,500,1
10/9/2021,6.04,6.04,5.84,5.84,4.885956,400,0
13/9/2021,5.31,5.31,5.31,5.31,4.442538,200,1
14/9/2021,5.94,5.94,5.74,5.74,4.802291,200,1
